Month,Year,Number of cases,Month with year
June,2019,44,"June, 2019"
May,2019,12,"May, 2019"
April,2019,19,"April, 2019"
March,2019,21,"March, 2019"
February,2019,31,"Feb, 2019"
January,2019,19,"Jan, 2019"
November,2018,17,"Nov, 2018"
September,2018,23,"Sept, 2018"
August,2018,16,"Aug, 2018"
April,2018,7,"April, 2018"
March,2018,23,"March, 2018"
February,2018,9,"Feb, 2018"
December,2017,2,"Dec, 2017"
November,2017,6,"Nov, 2017"
August,2017,22,"Aug, 2017"
June,2017,7,"June, 2017"
April,2017,27,"April, 2017"
March,2017,9,"March, 2017"
December,2016,10,"Dec, 2016"
November,2016,7,"Nov, 2016"
September,2016,2,"Sept, 2016"
August,2016,6,"Aug, 2016"
July,2016,38,"July, 2016"
June,2016,28,"June, 2016"
